词组,繁体
前词汇加工,前詞彙加工
前词汇语音加工,前詞彙語音加工
前词汇阶段,前詞彙階段
前赴后继,前赴後繼
前车之复,前車之覆
前车之覆后车之鉴,前車之覆後車之鑒
前车复后车戒,前車覆後車戒
前进党,前進黨
前途未卜,前途未卜
前遮后拥,前遮後擁
前郭尔罗斯蒙古族自治县,前郭爾羅斯蒙古族自治縣
前长后短,前長後短
前门不进师姑后门不进和尚,前門不進師姑後門不進和尚
前门打虎后门打狼,前門打虎後門打狼
前门拒虎后门进狼,前門拒虎後門進狼
前面,前面
剑叶,劍葉
剑合珠还,劍合珠還
剑术,劍術
剔了,剔了
剔出,剔出
剔团圆,剔團圓
剔团𪢮,剔團圞
剔齿纤,剔齒纖
剖别,剖别
剖宫产手术,剖宫産手術
剖腹产手术,剖腹産手術
剖腹手术,剖腹手術
剖面,剖面
剖面图,剖面圖
剥制,剝製
剥尽,剝盡
剥极必复,剝極必復
剥离症,剝離症
剥面皮,剝面皮
剧力万钧,劇力萬鈞
剧团,劇團
剧坛,劇壇
剧曲,劇曲
剧种,劇種
剩了,剩了
剩余,剩餘
剩余价值,剩餘價值
剩余定理,剩餘定理
剩余放射性,剩餘放射性
剩余辐射,剩餘輻射
剩馀价值,剩餘價值
剩馀价值率,剩餘價值率
剪了,剪了
剪其发,剪其髮
剪出,剪出
剪发,剪髮
剪发披缁,剪髮披緇
剪头发,剪頭髮
剪恶除奸,剪惡除奸
剪秋罗,剪秋羅
剪贴出,剪貼出
副厂长,副廠長
副团长,副團長
副性征,副性徵
副总干事,副總幹事
副曲,副曲
副法向量,副法向量
割了,割了
割出,割出
割回,割回
割回去,割回去
割回来,割回來
割圆术,割圓術
割据,割據
割舍,割捨
割舍不下,割捨不下
剺面,剺面
剿获,剿獲
劈划,劈劃
劈地价来,劈地價來
劈尸万段,劈尸萬段
劈心里,劈心裏
劈脑后,劈腦後
劈里,劈里
劈里啪啦,劈里啪啦
劈面,劈面
力不从愿,力不從願
力不胜任,力不勝任
力不自胜,力不自勝
力克,力克
力克制,力剋制
力回馈,力回饋
力困筋乏,力困筋乏
力尽,力盡
力尽神危,力盡神危
力尽筋疲,力盡筋疲
力尽筋舒,力盡筋舒
力征,力征
力敌万人,力敵萬人
力敌万夫,力敵萬夫
力系,力系
力胜,力勝
力薄才疏,力薄才疏
力量党,力量黨
劝出,勸出
劝出去,勸出去
劝出来,勸出來
劝善惩恶,勸善懲惡
劝善戒恶,勸善戒惡
劝善黜恶,勸善黜惡
劝回,勸回
劝回去,勸回去
劝回来,勸回來
办伙,辦伙
办公台,辦公檯
办公室里,辦公室裏
办后事,辦後事
功流万世,功流萬世
功率恶化,功率惡化
功率表,功率表
功率输出,功率輸出
功绩制,功績制
功能团,功能團
功能团体,功能團體
功能磁共振成像术,功能磁共振成像術
功能表,功能表
功致,功緻
功课表,功課表
加了,加了
加价,加價
加出,加出
加利波里,加利波里
加卷,加捲
加发,加發
加回,加回
加回去,加回去
加回来,加回來
加密后的,加密後的
加尔克汉德省,加爾克漢德省
加州技术学院,加州技術學院
加工出口,加工出口
加工出口区,加工出口區
加工厂,加工廠
加巴里雅,加巴里雅
加强控制,加强控制
加强管制,加强管制
加当,加當
加拉干达,加拉干達
加拿大铝业集团,加拿大鋁業集團
加氢精制,加氫精制
加油团,加油團
加涂,加塗
加签,加簽
加签证,加簽證
加解密系统,加解密系統
加达里,加達里
加速踏板,加速踏板
加里,加里
加里宁,加里寧
加里宁格勒,加里寧格勒
加里宁格勒州,加里寧格勒州
加里曼丹,加里曼丹
加里波的,加里波的
加里波第,加里波第
加里肋亚,加里肋亞
加里肋亚海,加里肋亞海
务须,務須
劣种,劣種
动不了,動不了
动了,動了
动力系统,動力系統
动向,動向
动向不明,動向不明
动干戈,動干戈
动态范围,動態範圍
动手术,動手術
动物系,動物系
动物纤维,動物纖維
动物育种,動物育種
动画艺术,動畫藝術
动配合,動配合
助恶,助惡
助选团,助選團
努瓦克肖特,努瓦克肖特
劫余,劫餘
劫制,劫制
劫后余生,劫後餘生
劫后英雄传,劫後英雄傳
劫后馀烬,劫後餘燼
劫后馀生,劫後餘生
劬劳顾复,劬勞顧復
劲度系数,勁度係數
劲松,勁松
劲秋,勁秋
劲舞团,勁舞團
劲骨丰肌,勁骨豐肌
劳军团,勞軍團
劳力士表,勞力士錶
劳务出口,勞務出口
劳动党,勞動黨
劳动合同,勞動合同
劳动基准法,勞動基準法
劳动模范,勞動模範
劳发,勞發
劳台重,勞臺重
劳困,勞困
劳工党,勞工黨
劳工团体,勞工團體
劳工退休准备金,勞工退休準備金
劳资关系,勞資關係
劳资合作,勞資合作
劳逸结合,勞逸結合
劳里斯,勞里斯
劳雇关系,勞僱關係
劾系,劾繫
势不可当,勢不可當
势力范围,勢力範圍
势合形离,勢合形離
勃发,勃發
勃郁,勃鬱
勒借,勒借
勒克,勒克
勒克司,勒克司
勒克莱尔,勒克萊爾
勒里勒得,勒里勒得
勘合,勘合
勘误表,勘誤表
募兵制,募兵制
勤仆,勤僕
勤俭朴实,勤儉樸實
勤俭朴素,勤儉樸素
勤劳致富,勤勞致富
勤朴,勤樸
勾了,勾了
勾出,勾出
勾划,勾劃
勾勒出,勾勒出
勾干,勾幹
勾当,勾當
勾心斗角,勾心鬥角
勾画出,勾畫出
勿里洞岛,勿里洞島
匀出,匀出
匀出来,匀出來
匀面,匀面
包乘制,包乘制
包产到户制,包産到户制
包价旅游,包價旅游
包伙,包伙
包准,包準
包利克莱荳斯,包利克萊荳斯
包干,包乾
包干儿,包乾兒
包干制,包乾制
包待制,包待制
包承制,包承制
包班制,包班制
包皮环切术,包皮環切術
包种茶,包種茶
包罗万象,包羅萬象
包衣种子,包衣種子
包裹表决,包裹表决
包谷,包穀
包谷花,包谷花
包里斯,包里斯
包髻团衫,包髻團衫
匏有苦叶,匏有苦葉
匏系,匏繫
化了,化了
化出,化出
化出化入,化出化入
化合,化合
化合价,化合價
化合反应,化合反應
化合态,化合態
化合性,化合性
化合物,化合物
化合量,化合量
化妆台,化妝臺
化学合成,化學合成
化学工厂,化學工廠
化学当量,化學當量
化学战斗部,化學戰鬥部
化学系,化學系
化学纤维,化學纖維
化工厂,化工廠
化工系,化工系
化干戈为玉帛,化干戈爲玉帛
化纤,化纖
化纤厂,化纖廠
化肥厂,化肥廠
化隆回族自治县,化隆回族自治縣
化验台,化驗臺
北京国家游泳中心,北京國家游泳中心
北京师范大学,北京師範大學
北京汽车制造厂有限公司,北京汽車製造廠有限公司
北京艺术学院,北京藝術學院
北叶门,北葉門
北向,北向
北回,北迴
北回归线,北迴歸綫
北回线,北迴綫
北回铁路,北迴鐵路
北征,北征
北斗,北斗
北斗七星,北斗七星
北斗星,北斗星
北斗镇,北斗鎮
北曲,北曲
北柴胡,北柴胡
北洋系,北洋系
北瓦兹里斯坦,北瓦茲里斯坦
北辕适楚,北轅適楚
北里,北里
北面,北面
北面称臣,北面稱臣
北马里亚纳,北马里亞納
匡合,匡合
匡复,匡復
匡当,匡當
匡济之才,匡濟之才
匣里龙吟,匣裏龍吟
匪党,匪黨
匪干,匪幹
匪徒集团,匪徒集團
匹头里,匹頭裏
匹面,匹面
匹马只轮,匹馬隻輪
区分出,區分出
区划,區劃
区别,區别
区别性,區别性
区别词,區别詞
区域网路技术,區域網路技術
区域范围,區域範圍
区段征收,區段徵收
医卜星相,醫卜星相
医学系,醫學系
医术,醫術
医疗团,醫療團
医院里,醫院裏
十万,十萬
十九万,十九萬
十二万,十二萬
十二万分,十二萬分
十二木表法,十二木表法
十二面体,十二面體
十五万,十五萬
十余,十餘
十余只,十餘隻
十余里,十餘里
十克,十克
十克拉,十克拉
十八万,十八萬
十公克,十公克
十公里,十公里
十六万,十六萬
十六国春秋,十六國春秋
十六进制,十六進制
十冬腊月,十冬臘月
十几,十幾
十几万,十幾萬
十几个,十幾個
十几个月,十幾個月
十几二十,十幾二十
十几人,十幾人
十几元,十幾元
十几分,十幾分
十几号,十幾號
十几块,十幾塊
十几天,十幾天
十几岁,十幾歲
十几年,十幾年
十几次,十幾次
十出戏,十齣戲
十出祁山,十出祁山
十分干,十分乾
十分钟,十分鐘
十划,十劃
十卷,十卷
十发,十發
十只,十隻
十台,十臺
十叶,十葉
十四万,十四萬
十回,十回
十团,十團
十国春秋,十國春秋
十多万,十多萬
十多只,十多隻
十天后,十天後
十天干,十天干
十字军东征,十字軍東征
十字军远征,十字軍遠征
十干,十干
十年后,十年後
十恶,十惡
十恶不赦,十惡不赦
十方地面,十方地面
十曲,十曲
十点钟,十點鐘
十种,十種
十秒钟,十秒鐘
十谒朱门九不开,十謁朱門九不開
十进位制,十進位制
十进制,十進制
十进算术,十進算術
十郎八当,十郎八當
十里,十里
十里余,十里餘
十里洋场,十里洋場
十里长亭,十里長亭
十里长亭无客走,十里長亭無客走
十面,十面
十面体,十面體
十面埋伏,十面埋伏
千万,千萬
千万买邻,千萬買鄰
千万分之一,千萬分之一
千万千万,千萬千萬
千万富翁,千萬富翁
千万年,千萬年
千不幸万不幸,千不幸萬不幸
千不是万不是,千不是萬不是
千丝万缕,千絲萬縷
千个,千個
千乘,千乘
千乘万骑,千乘萬騎
千乞,千乞
千了百当,千了百當
千亩,千畝
千人所指,千人所指
千亿,千億
千仇万恨,千仇萬恨
千仓万箱,千倉萬箱
千仞,千仞
千伏,千伏
千位,千位
千位元,千位元
千余,千餘
千余只,千餘隻
千余里,千餘里
千佛塔,千佛塔
千佛山,千佛山
千佛洞,千佛洞
千依万顺,千依萬順
千依百顺,千依百順
千兆,千兆
千克,千克
千兵万马,千兵萬馬
千军万马,千軍萬馬
千军易得一将难求,千軍易得一將難求
千刀万剁,千刀萬剁
千刀万剐,千刀萬剮
千刁万恶,千刁萬惡
千分,千分
千分之,千分之
千分之一,千分之一
千分之三,千分之三
千分之二,千分之二
千分表,千分表
千千,千千
千千万万,千千萬萬
千卡,千卡
千变万化,千變萬化
千变万状,千變萬狀
千变万轸,千變萬軫
千古,千古
千古事,千古事
千古传诵,千古傳誦
千古恨,千古恨
千古未闻,千古未聞
千古流传,千古流傳
千古独步,千古獨步
千古绝唱,千古絶唱
千古罪人,千古罪人
千古遗恨,千古遺恨
千只,千隻
千只足够,千衹足够
千叮万嘱,千叮萬囑
千叶,千葉
千叶县,千葉縣
千吨,千噸
千吨级核武器,千噸級核武器
千周,千周
千呼万唤,千呼萬唤
千咒万骂,千咒萬駡
千唤万唤,千唤萬唤
千回百折,千迴百折
千回百转,千迴百轉
千多只,千多隻
千天后,千天後
千夫,千夫
千夫所指,千夫所指
千夫长,千夫長
千头万绪,千頭萬緒
千头橘奴,千頭橘奴
千头百绪,千頭百緒
千奇百怪,千奇百怪
千妥万妥,千妥萬妥
千妥万当,千妥萬當
千姿百态,千姿百態
千娇百媚,千嬌百媚
千娇百态,千嬌百態
千孔百疮,千孔百瘡
千字文,千字文
千字节,千字節
千家,千家
千家万户,千家萬户
千家姓,千家姓
千家诗,千家詩
千寻,千尋
千层糕,千層糕
千层面,千層麵
千山万壑,千山萬壑
千山万水,千山萬水
千山区,千山區
千山山脉,千山山脉
千岁,千歲
千岁一时,千歲一時
千岐万辙,千岐萬轍
千岛列岛,千島列島
千岛湖,千島湖
千岛湖事件,千島湖事件
千岛群岛,千島群島
千岛酱,千島醬
千岩万壑,千岩萬壑
千岩万谷,千岩萬谷
千岩竞秀,千岩競秀
千嶂,千嶂
千差万别,千差萬别
千差万差来人不差,千差萬差來人不差
千帆,千帆
千年,千年
千年万载,千年萬載
千年前,千年前
千年怪兽,千年怪獸
千年田地八百主,千年田地八百主
千年艾,千年艾
千态万状,千態萬狀
千思万想,千思萬想
千总,千總
千恩万谢,千恩萬謝
千愁万恨,千愁萬恨
千愁万绪,千愁萬緒
千愁万虑,千愁萬慮
千户,千户
千手千眼观音,千手千眼觀音
千扎,千扎
千挑万选,千挑萬選
千挑百选,千挑百選
千推万阻,千推萬阻
千支万派,千支萬派
千斤,千斤
千斤重担,千斤重擔
千斤顶,千斤頂
千方万计,千方萬計
千方百计,千方百計
千日,千日
千日红,千日紅
千日菊,千日菊
千日酒,千日酒
千村万落,千村萬落
千条万端,千條萬端
千条万绪,千條萬緒
千杯,千杯
千欢万喜,千歡萬喜
千步,千步
千湖国,千湖國
千点,千點
千牛,千牛
千牛刀,千牛刀
千状万态,千狀萬態
千状万端,千狀萬端
千瓦,千瓦
千瓦小时,千瓦小時
千瓦时,千瓦時
千生万死,千生萬死
千疮百孔,千瘡百孔
千百万,千百萬
千百年,千百年
千百成群,千百成群
千皓宣,千皓宣
千真万真,千真萬真
千真万确,千真萬確
千石,千石
千碱基对,千碱基對
千禧,千禧
千禧年,千禧年
千秋,千秋
千秋万世,千秋萬世
千秋万代,千秋萬代
千秋万古,千秋萬古
千秋万岁,千秋萬歲
千秋佳城,千秋佳城
千秋大业,千秋大業
千秋庙,千秋廟
千秋节,千秋節
千章,千章
千端万绪,千端萬緒
千算万算不值天一划,千算萬算不值天一劃
千篇一律,千篇一律
千米,千米
千粒重,千粒重
千红万紫,千紅萬紫
千经万卷,千經萬卷
千绪万端,千緒萬端
千羊之皮不如一狐之腋,千羊之皮不如一狐之腋
千般,千般
千般万样,千般萬樣
千英宇,千英宇
千虑一失,千慮一失
千虑一得,千慮一得
千言,千言
千言万语,千言萬語
千赫,千赫
千赫兹,千赫茲
千足港条,千足港條
千足虫,千足蟲
千载,千載
千载一会,千載一會
千载一合,千載一合
千载一时,千載一時
千载一逢,千載一逢
千载一遇,千載一遇
千载扬名,千載揚名
千载独步,千載獨步
千载难逢,千載難逢
千辛万苦,千辛萬苦
千辛百苦,千辛百苦
千里,千里
千里一曲,千里一曲
千里之堤,千里之堤
千里之外,千里之外
千里之行,千里之行
千里命驾,千里命駕
千里始足下,千里始足下
千里姻缘一线牵,千里姻緣一綫牽
千里寄鹅毛,千里寄鵝毛
千里搭长棚,千里搭長棚
千里犹面,千里猶面
千里目,千里目
千里眼,千里眼
千里移檄,千里移檄
千里足,千里足
千里达,千里達
千里迢迢,千里迢迢
千里迢遥,千里迢遥
千里送鹅毛,千里送鵝毛
千里镜,千里鏡
千里馈粮,千里饋糧
千里马,千里馬
千里驹,千里駒
千里鹅毛,千里鵝毛
千金,千金
千金一刻,千金一刻
千金一掷,千金一擲
千金一笑,千金一笑
千金一诺,千金一諾
千金之子,千金之子
千金之家,千金之家
千金买笑,千金買笑
千金买骨,千金買骨
千金小姐,千金小姐
千金市骨,千金市骨
千金敝帚,千金敝帚
千金方,千金方
千金裘,千金裘
千金要方,千金要方
千金记,千金記
千金躯,千金軀
千金难买,千金難買
千钧,千鈞
千钧一发,千鈞一髮
千钧重负,千鈞重負
千锤百炼,千錘百煉
千锺粟,千鍾粟
千镒之裘非一狐之白,千鎰之裘非一狐之白
千门,千門
千门万户,千門萬户
千闻不如一见,千聞不如一見
千阳,千陽
千阳县,千陽縣
千难万险,千難萬險
千难万难,千難萬難
千面人,千面人
千页群岛,千頁群島
千顷陂,千頃陂
千鬼百怪,千鬼百怪
千鸟,千鳥
千鸟渊国家公墓,千鳥淵國家公墓
升了,升了
升出,升出
升出来,升出來
升回,升回
升回去,升回去
升回来,升回來
升官发财,升官發財
升斗,升斗
升斗之禄,升斗之祿
升斗小民,升斗小民
升迁制度,升遷制度
午后,午後
半乳糖血症,半乳糖血症
半价,半價
半价优待,半價優待
半价倍息,半價倍息
